"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Baseline Perp.","Doppler","GroupID"
"S1B_IW_SLC__1SDV_20210326T070641_20210326T070709_026182_031FEE_3AF6","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26182","81","1048","2021-03-26T07:07:09.000000","2021-03-26T07:06:41.000000","SLC","2021-03-26T07:06:41.000000","2021-03-26T07:07:09.000000","-39.0049","175.8046","-40.160042","174.700592","-39.477039","177.540482","-38.506416","174.094879","-37.839241","176.869919","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210326T070641_20210326T070709_026182_031FEE_3AF6.zip","4192.301455497742","None","None","None","0","S1B_IWDV_1048_1054_026182_081"
"S1B_IW_SLC__1SDV_20210314T070641_20210314T070709_026007_031A5D_4FA7","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26007","81","1048","2021-03-14T07:07:09.000000","2021-03-14T07:06:41.000000","SLC","2021-03-14T07:06:41.000000","2021-03-14T07:07:09.000000","-39.0053","175.8051","-40.160389","174.701096","-39.477425","177.540802","-38.506882","174.095398","-37.839741","176.870255","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210314T070641_20210314T070709_026007_031A5D_4FA7.zip","4228.863235473633","None","None","None","0","S1B_IWDV_1049_1054_026007_081"
"S1B_IW_SLC__1SDV_20210302T070641_20210302T070709_025832_0314B0_AB65","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25832","81","1048","2021-03-02T07:07:09.000000","2021-03-02T07:06:41.000000","SLC","2021-03-02T07:06:41.000000","2021-03-02T07:07:09.000000","-39.0047","175.806","-40.159786","174.702133","-39.476814","177.541672","-38.506279","174.096405","-37.83913","176.871094","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210302T070641_20210302T070709_025832_0314B0_AB65.zip","4239.731068611145","None","None","None","0","S1B_IWDV_1049_1054_025832_081"
"S1B_IW_SLC__1SDV_20210218T070641_20210218T070709_025657_030EF3_752A","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25657","81","1048","2021-02-18T07:07:09.000000","2021-02-18T07:06:41.000000","SLC","2021-02-18T07:06:41.000000","2021-02-18T07:07:09.000000","-39.0046","175.8067","-40.159748","174.702942","-39.47678","177.542328","-38.506119","174.097122","-37.838974","176.871674","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210218T070641_20210218T070709_025657_030EF3_752A.zip","4222.043969154358","None","None","None","0","S1B_IWDV_1048_1054_025657_081"
"S1B_IW_SLC__1SDV_20210206T070642_20210206T070710_025482_03093F_4890","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25482","81","1048","2021-02-06T07:07:10.000000","2021-02-06T07:06:42.000000","SLC","2021-02-06T07:06:42.000000","2021-02-06T07:07:10.000000","-39.0048","175.8067","-40.159775","174.702957","-39.476856","177.542236","-38.506378","174.097244","-37.839279","176.871704","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210206T070642_20210206T070710_025482_03093F_4890.zip","4209.827124595642","None","None","None","0","S1B_IWDV_1048_1054_025482_081"
"S1B_IW_SLC__1SDV_20210125T070642_20210125T070710_025307_030397_156E","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25307","81","1048","2021-01-25T07:07:10.000000","2021-01-25T07:06:42.000000","SLC","2021-01-25T07:06:42.000000","2021-01-25T07:07:10.000000","-39.0053","175.8064","-40.160324","174.702713","-39.477444","177.541977","-38.506798","174.09697","-37.839741","176.871399","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210125T070642_20210125T070710_025307_030397_156E.zip","4253.199010848999","None","None","None","0","S1B_IWDV_1048_1054_025307_081"
"S1B_IW_SLC__1SDV_20210113T070643_20210113T070710_025132_02FE09_AC67","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25132","81","1048","2021-01-13T07:07:10.000000","2021-01-13T07:06:43.000000","SLC","2021-01-13T07:06:43.000000","2021-01-13T07:07:10.000000","-39.005","175.8056","-40.160011","174.701813","-39.477154","177.541061","-38.506607","174.09613","-37.839569","176.870575","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210113T070643_20210113T070710_025132_02FE09_AC67.zip","4244.98895740509","None","None","None","0","S1B_IWDV_1049_1054_025132_081"
"S1B_IW_SLC__1SDV_20210101T070643_20210101T070711_024957_02F867_8580","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","24957","81","1048","2021-01-01T07:07:11.000000","2021-01-01T07:06:43.000000","SLC","2021-01-01T07:06:43.000000","2021-01-01T07:07:11.000000","-39.0049","175.8055","-40.160046","174.701843","-39.477173","177.541122","-38.506279","174.096024","-37.83923","176.870483","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210101T070643_20210101T070711_024957_02F867_8580.zip","4229.842889785767","None","None","None","0","S1B_IWDV_1048_1054_024957_081"
"S1B_IW_SLC__1SDV_20201220T070644_20201220T070711_024782_02F2C6_09E4","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","24782","81","1048","2020-12-20T07:07:11.000000","2020-12-20T07:06:44.000000","SLC","2020-12-20T07:06:44.000000","2020-12-20T07:07:11.000000","-39.0042","175.8069","-40.158981","174.703369","-39.476147","177.542145","-38.505943","174.097733","-37.838924","176.871719","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20201220T070644_20201220T070711_024782_02F2C6_09E4.zip","4216.263989448547","None","None","None","0","S1B_IWDV_1048_1054_024782_081"
"S1B_IW_SLC__1SDV_20201126T070645_20201126T070713_024432_02E77A_DAA9","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","24432","81","1048","2020-11-26T07:07:13.000000","2020-11-26T07:06:45.000000","SLC","2020-11-26T07:06:45.000000","2020-11-26T07:07:13.000000","-39.004","175.8065","-40.158913","174.702728","-39.476028","177.541901","-38.50576","174.097107","-37.838692","176.87149","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20201126T070645_20201126T070713_024432_02E77A_DAA9.zip","4505.137537956238","None","None","None","0","S1B_IWDV_1048_1054_024432_081"
